lexemeCurrentNode             lineno    token               valOfNum  parentNodeSymbol              isLeafNode(yes/no)  NodeSymbol


----                          ----      ----                ----      program                       No                  program                       
----                          ----      ----                ----      program                       No                  otherFunctions                
----                          ----      ----                ----      otherFunctions                No                  function                      
_sumN                         4         TK_FUNID            ----      function                      Yes                 ----                          
----                          ----      ----                ----      function                      No                  input_par                     
input                         4         TK_INPUT            ----      input_par                     Yes                 ----                          
parameter                     4         TK_PARAMETER        ----      input_par                     Yes                 ----                          
list                          4         TK_LIST             ----      input_par                     Yes                 ----                          
[                             4         TK_SQL              ----      input_par                     Yes                 ----                          
----                          ----      ----                ----      input_par                     No                  parameter_list                
----                          ----      ----                ----      parameter_list                No                  dataType                      
----                          ----      ----                ----      dataType                      No                  primitiveDatatype             
int                           4         TK_INT              ----      primitiveDatatype             Yes                 ----                          
d5cc34                        4         TK_ID               ----      parameter_list                Yes                 ----                          
----                          ----      ----                ----      parameter_list                No                  remaining_list                
eps                           ----      ----                ----      remaining_list                Yes                 ----                          

]                             4         TK_SQR              ----      input_par                     Yes                 ----                          
----                          ----      ----                ----      function                      No                  output_par                    
output                        5         TK_OUTPUT           ----      output_par                    Yes                 ----                          
parameter                     5         TK_PARAMETER        ----      output_par                    Yes                 ----                          
list                          5         TK_LIST             ----      output_par                    Yes                 ----                          
[                             5         TK_SQL              ----      output_par                    Yes                 ----                          
----                          ----      ----                ----      output_par                    No                  parameter_list                
----                          ----      ----                ----      parameter_list                No                  dataType                      
----                          ----      ----                ----      dataType                      No                  primitiveDatatype             
real                          5         TK_REAL             ----      primitiveDatatype             Yes                 ----                          
d3                            5         TK_ID               ----      parameter_list                Yes                 ----                          
----                          ----      ----                ----      parameter_list                No                  remaining_list                
eps                           ----      ----                ----      remaining_list                Yes                 ----                          

]                             5         TK_SQR              ----      output_par                    Yes                 ----                          
;                             5         TK_SEM              ----      function                      Yes                 ----                          
----                          ----      ----                ----      function                      No                  stmts                         
----                          ----      ----                ----      stmts                         No                  typeDefinitions               
eps                           ----      ----                ----      typeDefinitions               Yes                 ----                          

----                          ----      ----                ----      stmts                         No                  declarations                  
----                          ----      ----                ----      declarations                  No                  declaration                   
type                          6         TK_TYPE             ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  dataType                      
----                          ----      ----                ----      dataType                      No                  primitiveDatatype             
int                           6         TK_INT              ----      primitiveDatatype             Yes                 ----                          
:                             6         TK_COLON            ----      declaration                   Yes                 ----                          
b5b567                        6         TK_ID               ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  global_or_not                 
:                             6         TK_COLON            ----      global_or_not                 Yes                 ----                          
global                        6         TK_GLOBAL           ----      global_or_not                 Yes                 ----                          
;                             6         TK_SEM              ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declarations                  No                  declarations                  
----                          ----      ----                ----      declarations                  No                  declaration                   
type                          7         TK_TYPE             ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  dataType                      
----                          ----      ----                ----      dataType                      No                  primitiveDatatype             
int                           7         TK_INT              ----      primitiveDatatype             Yes                 ----                          
